City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Alofi,NU,2022-08-31 02:02:24,-19.0595,-169.9187,76.48,78,7,9.17
267,Karratha,AU,2022-08-31 02:02:24,-20.7377,116.8463,79.09,28,93,4.45
268,Marapanim,BR,2022-08-31 02:02:25,-0.7175,-47.6997,74.95,95,86,5.5
269,Quatre Cocos,MU,2022-08-31 02:02:25,-20.2078,57.7625,64.51,71,33,10.69
270,Goderich,CA,2022-08-31 02:00:16,43.7501,-81.7165,70.92,74,13,20.42
271,Westport,US,2022-08-31 01:59:55,41.1415,-73.3579,79.09,88,29,8.99
272,Anito,PH,2022-08-31 02:02:26,12.4497,125.2886,88.66,60,45,2.86
273,Santa Fe,AR,2022-08-31 02:02:26,-31.6333,-60.7,62.02,66,100,4.0
274,Caravelas,BR,2022-08-31 02:02:26,-17.7125,-39.2481,65.79,80,75,12.01
275,Wagar,SD,2022-08-31 02:02:27,16.1525,36.2032,86.68,51,3,9.95
276,Bandarbeyla,SO,2022-08-31 02:02:27,9.4942,50.8122,75.29,81,69,19.84
277,Karachi,PK,2022-08-31 02:02:27,24.9056,67.0822,78.62,89,20,5.75
278,Awash,ET,2022-08-31 02:02:28,8.9833,40.1667,70.02,74,0,7.18
279,Hazebrouck,FR,2022-08-31 02:02:28,50.7237,2.5373,65.79,84,6,6.85
280,Temple,US,2022-08-31 02:00:54,31.0982,-97.3428,74.7,86,100,8.16
281,Bonavista,CA,2022-08-31 02:02:29,48.6499,-53.1147,64.0,86,92,11.48
282,Trinidad,BO,2022-08-31 02:02:29,-14.8333,-64.9,73.42,38,0,3.58
283,Xiantao,CN,2022-08-31 02:02:29,30.3833,113.4,73.63,71,97,8.72
284,Sobolevo,RU,2022-08-31 02:02:30,54.4299,31.8996,59.22,89,99,11.95
285,Buraydah,SA,2022-08-31 02:02:30,26.326,43.975,83.08,15,11,5.12
286,Sibu,MY,2022-08-31 02:02:30,2.3,111.8167,74.14,98,100,1.12
287,Saint-Ambroise,CA,2022-08-31 02:02:31,48.5501,-71.3324,71.92,97,100,5.26
288,Umm Lajj,SA,2022-08-31 02:02:31,25.0213,37.2685,91.8,31,0,8.03
289,Nampula,MZ,2022-08-31 02:02:31,-15.1165,39.2666,66.15,94,20,10.36
290,Cardston,CA,2022-08-31 01:59:43,49.2,-113.3019,86.29,25,45,4.61
291,Namatanai,PG,2022-08-31 02:02:32,-3.6667,152.4333,84.88,68,77,10.09
292,Puerto Leguizamo,CO,2022-08-31 02:02:32,-0.1934,-74.7819,70.2,98,33,1.5
293,San Fernando,PH,2022-08-31 02:02:32,15.0286,120.6898,86.92,70,62,2.24
